probe_id,probe,network_status,expense_type,children_under_4,children_under_12,children_under_18,children_under_26,employment_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,val1,val2,val3,val4,action_type,kdma,kdma_value
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,0,Salaried,1919,0,Owns,4,4,5,200,0,1600,600,,RISK,low
2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,0,Salaried,4671,1,Rents,7,1,2,600,200,1600,0,,RISK,low
3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,1,0,0,Bonus,1139,0,Owns,6,6,5,600,0,1600,200,,RISK,low
4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,1,0,Hourly,3561,1,Owns,5,2,0,600,1600,200,0,,RISK,low
5,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,1,0,1,Salaried,3664,0,Owns,1,6,13,1600,0,600,200,,RISK,low
6,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,0,Salaried,1622,1,Rents,2,1,9,200,0,1600,600,,RISK,low
7,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,0,1,Bonus,2742,0,Owns,10,10,2,200,0,1600,600,,RISK,low
8,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,1,0,Salaried,1855,0,Rents,9,10,10,1600,200,600,0,,RISK,low
9,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,0,0,Bonus,4199,0,Owns,7,7,6,1600,0,600,200,,RISK,low
10,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,0,Salaried,2175,0,Owns,8,10,8,600,0,200,1600,,RISK,low
